"relative_path","sha256","size_bytes"
".gitignore","96c6ce39ff9f635c601831e8818dd20d04185fbdf52ee5f593e15967c2532959","180"
"CODE_QA_REPORT.md","a9711605ed4b7541c4a1dd458a6a4d5558eee939a3fcd32abe16ad8657ee8d92","5121"
"configs/feature_schema.json","ebbae82c890c2bceb20a8794ce47626994fe597f8b8b1ca4e661b153cfaa0acc","695"
"configs/protocol.json","86f59db18dcd653a509de2289ed527a6d6a93a264a7037c54f4e21930e07cb9b","2454"
"configs/static_thresholds_validation_only.csv","97ac7d9c796610e5c150db465b3555a470cfd16ba4256f0fb9474debb8c92a3d","2505"
"figure_generation/Figure1_online_v5/Figure1_online_workflow_candidate_v5.py","ef60f94f8e65cb33058ed35e013aef69493b4e0e898b3f49b83b6bdad66e362c","28996"
"figure_generation/four_model_event180_online/output_hashes.csv","5106a800e7ccd82907c5cef24d36934eb9e4b5c886c8b23cdced36fd89aae8bf","445"
"figure_generation/four_model_event180_online/python_code/one_to_one_metrics.py","9a6ce4eda3fa038ac1330a4f051ac43477c8cb7fa2a9c6bf33b51136c575435d","16315"
"figure_generation/four_model_event180_online/python_code/plot_event28_one_to_one.py","a8d2e926862868e3e099d47e28bcbc8d8aa523ce99da346f21ffd6968f481d68","24528"
"figure_generation/four_model_event180_online/python_code/prepare_locked_selected_event_source.py","b39fd3bbd05541b7d01e0f55837e31c2b7145e24a4732f8853d5d5d4ecad5c3c","18093"
"figure_generation/four_model_event180_online/qa_report.json","73979fcbc60f8f2d9c4641d1473fdb8103321358251bfebb979e36818c11f973","1865"
"figure_generation/four_model_event180_online/selection_audit.csv","931d653d4c03aa7d9c7e216db57ded9e4975be479ccaf5767b8b8e94fdd53dc1","65589"
"figure_generation/four_model_event180_online/source_data_hashes.csv","233312daad3caf95dbabbe245a2a98410bafcb127367e51df76ed2eb1f028244","1695"
"figure_generation/four_model_event180_online/source_data/catalog_test_2010_2015.csv","a23ea7996e1a0dbd355170c807e3749cba865c3106dd2727e29e330391971625","11882"
"figure_generation/four_model_event180_online/source_data/CNN_LSTM_event180_window.csv","7d312f02c6f17376b07bb9861a98ddc83cd65c03d431df8f77e930171440eccb","82349"
"figure_generation/four_model_event180_online/source_data/display_event_intervals.csv","9ce7641d8c0509f462f93335bc87bb86c80121ed9a2b43a81c86685a01b27cdc","960"
"figure_generation/four_model_event180_online/source_data/locked_input_hashes.csv","ee914da84b0326f93c74889aa0592479558f1dfdef2f0fda387544f2e365fc54","2720"
"figure_generation/four_model_event180_online/source_data/LSTM_event180_window.csv","bf9c10ab2605fb3ac206d2f9edf9bfcb636774c983ebdf173983736c43dbb30e","82311"
"figure_generation/four_model_event180_online/source_data/one_to_one_audit_manifest.json","9b382c535fd9f857d11eb1e1de930049205c3ca54fc390d5b842f1837d5e83a5","1260"
"figure_generation/four_model_event180_online/source_data/one_to_one_test_metrics_long.csv","fd591d63718feb84e73a1a8a6e96609149cc60481baac71a506a51ceb04872ba","4457"
"figure_generation/four_model_event180_online/source_data/RUNet_event180_window.csv","9a519849b4b29dd1fea373628ed0e217df626e1eb6548e81de400f8238682bb0","82485"
"figure_generation/four_model_event180_online/source_data/selected_event.csv","7ed407b33cd36c40e9f144e87691bcfef3e3729f57d1e8623c8ae56d49f3a57c","1440"
"figure_generation/four_model_event180_online/source_data/test_input_hashes.csv","4d97fea11d4257a1738829b97494cd20474363a1fcd9ab51c6c83e008f5b5158","4930"
"figure_generation/four_model_event180_online/source_data/test_output_hashes.csv","4fdb47db0b54911758c2757650aa91d4b7d793fa02cd963c1120f2d52ba78951","5735"
"figure_generation/four_model_event180_online/source_data/UNet_event180_window.csv","d631ec132aa081c33bc5406b87e95122e2e5877ec379d985049f73c3c4ffd408","82463"
"figure_generation/four_model_event180_online/source_data/VALIDATION_SELECTION_COMPLETE.json","7fa01bb29266c27f7ebfe430ed053734f906d4a101fa031bdf14751943e7721a","2734"
"figure_generation/results_summary_online_final_v3/file_hashes.csv","97f07f7319285562008bfa33c34c9ce734dcec90b7b6e90f6333adc2dfd03a0c","2597"
"figure_generation/results_summary_online_final_v3/python_code/generate_one_to_one_results_figures.py","8ff67fdb0275bb73358cf258123779691ff4ec02952f239e5b11f51f59894846","22059"
"figure_generation/results_summary_online_final_v3/python_code/one_to_one_metrics.py","9a6ce4eda3fa038ac1330a4f051ac43477c8cb7fa2a9c6bf33b51136c575435d","16315"
"figure_generation/results_summary_online_final_v3/qa_report.json","124225f43654a6148e9b9ec1ea9b941acaa687c97748ce4aa14257f2716a5c22","1220"
"figure_generation/results_summary_online_final_v3/source_data/ablation_one_to_one_metrics_compact.csv","26e79cc8536bdf2e89644b371f66fe3185db1c57c33c369cb3538bd26243dbfb","890"
"figure_generation/results_summary_online_final_v3/source_data/ablation_validation_locked_thresholds.csv","2f7e15b45270015525808700eeb620aa24518e7988787de63cde792a5d04a5e2","110"
"figure_generation/results_summary_online_final_v3/source_data/backbone_one_to_one_metrics_compact.csv","fb66c06fad652cd7052cce89cad643a485fc3d8c78d69be8a2e28ee6500a3baa","849"
"figure_generation/results_summary_online_final_v3/source_data/backbone_validation_locked_thresholds.csv","0f11b4140e6c23d67f92171c773d65c6be92d921a952f96183c4a2c8e575c252","64"
"figure_generation/results_summary_online_final_v3/source_data/one_to_one_audit_manifest.json","9b382c535fd9f857d11eb1e1de930049205c3ca54fc390d5b842f1837d5e83a5","1260"
"figure_generation/results_summary_online_final_v3/source_data/one_to_one_metrics_long.csv","fd591d63718feb84e73a1a8a6e96609149cc60481baac71a506a51ceb04872ba","4457"
"figure_generation/results_summary_online_final_v3/source_data/source_provenance.json","c9c4e555e85d481caeb5c8f907620297cfa6b5263db5bd5386f3afdfa2e49f33","602"
"figure_generation/results_summary_online_final_v3/source_data/test_input_hashes.csv","4d97fea11d4257a1738829b97494cd20474363a1fcd9ab51c6c83e008f5b5158","4930"
"figure_generation/results_summary_online_final_v3/source_data/test_output_hashes.csv","4fdb47db0b54911758c2757650aa91d4b7d793fa02cd963c1120f2d52ba78951","5735"
"figure_generation/results_summary_online_final_v3/source_data/VALIDATION_SELECTION_COMPLETE.json","7fa01bb29266c27f7ebfe430ed053734f906d4a101fa031bdf14751943e7721a","2734"
"LARGE_ARTIFACTS.md","5312f964d313df0ef50aba94046eb22cb3add334b56aae322d5afce1c362ca32","1352"
"LICENSE.txt","7c75d38c873156e4a997c77dfaba8ba3bc85f4d54137dd1ebed2979cf54c00bc","723"
"locked_one_to_one_results/all_one_regression.csv","773333c568881bf876aafb1e1b99f9a44ecda6f768bc31db4d6d140498626ce1","353"
"locked_one_to_one_results/backbone_event_f1.csv","115bb52f55921539bfa4e057a1882c4e0b1687b225e12e59deaa11afeb579bbb","2359"
"locked_one_to_one_results/LOCKED_TEST_AUDIT.json","9b382c535fd9f857d11eb1e1de930049205c3ca54fc390d5b842f1837d5e83a5","1260"
"locked_one_to_one_results/pm_window_ablation_event_f1.csv","e21b20955dab5e60f82753501b7b832e7b5f1f1fbd63ce563630d1deb7cf5d98","2455"
"locked_one_to_one_results/test_event_matching.csv","f9d31a72529346f921e932ffec355e143106da4a5b258111f45ac0de49f8ab2f","774862"
"locked_one_to_one_results/test_event_metrics.csv","3b915a598ca310f9b751db69be652b11f4b21ce25737a2520d0e679bda12be7f","4559"
"locked_one_to_one_results/test_input_hashes.csv","4d97fea11d4257a1738829b97494cd20474363a1fcd9ab51c6c83e008f5b5158","4930"
"locked_one_to_one_results/test_output_hashes.csv","4fdb47db0b54911758c2757650aa91d4b7d793fa02cd963c1120f2d52ba78951","5735"
"README.md","7cb16003883a5eacdb0a8689feb4dc05626854fc1210e5e40b0e6b6944f8f37f","11414"
"requirements.txt","2cda31d1d87f8562f0f4b212185aa9dd8d0ffc85aebfacd4878253092a389e96","96"
"results/backbone_event_f1.csv","115bb52f55921539bfa4e057a1882c4e0b1687b225e12e59deaa11afeb579bbb","2359"
"results/pm_window_ablation_event_f1.csv","e21b20955dab5e60f82753501b7b832e7b5f1f1fbd63ce563630d1deb7cf5d98","2455"
"results/source_artifact_manifest.csv","71a05bbe463d0946a0ce1e91df2f9410f3a983c34acbe511cfa7fbf87910e3f9","1634"
"src/__init__.py","8c0b9bbc2248674b5c127daa1f423ab17607954d365a3dbc7bb095aa95f8cf21","69"
"src/cnn_lstm_pipeline.py","16ce0e12e89e14fe1700e6acd421c51504bc92d7297e67fde853df6bd4a3bad8","12434"
"src/evaluate_locked_test.py","f6d4de73d8def6f944470b65251b4502f27c5ef22d25a7d3470fa73548af8cb3","19862"
"src/event_f1.py","94cad7305439a851b6c353edf7b1e5a9a1ced8332f5a1b4eaaefd16519609a31","13231"
"src/prepare_data.py","b02c3c236b27d6113e2593cbc44d9f19a35b7c36abdcca84699ef1e6b9e802d6","6795"
"src/saocp.py","c5251c11d21655c96c162990f1feb458d126ba7b88e37317856f0a5e6c02f715","8711"
"src/select_validation_config.py","c9239e356f0780deb5f5904055ff90ea777d2898c1cff29281a76ae1d34d6333","22220"
"src/verify_locked_results.py","5cd3393c63b1e30792a7daea92cacda4a6b5fbad00b1df91240b46ae60418dd3","2153"
"tests/test_core.py","524cf05e741be7b7237759446a74b1136e06246255ecd805adfdc8e8da068de0","6491"
"THIRD_PARTY.md","44d570031fb0f9d0600a60529866ddc6a065e89af6e4693b164bdf56c2b2aa07","2322"
"training_run_records/cnn_lstm_bce_f33_w64/model_config.json","59d4b2e6da6973060c06a57a06b5d05037c47014e459677742174d71dbdc45bb","457"
"training_run_records/cnn_lstm_bce_f33_w64/model_summary.txt","4ef09fe903ebb06131fc7abf89516006b7ec7dd2b326b539a11e6614fb31e277","2471"
"training_run_records/cnn_lstm_bce_f33_w64/prediction_runtime.json","39ce8ba3366a69acf381e2cea23481ba92d5d0b60d8f23e3ce2bbffcd2acb8c4","198"
"training_run_records/cnn_lstm_bce_f33_w64/runtime.json","24e8679ab19d63ff3d697f5e149ccc7f0d5f34ce147e0dc90adc40b83a5565a2","72"
"training_run_records/cnn_lstm_bce_f33_w64/training_history.csv","48395dd21d3472a68456599437838a7ad0893771411601cfe356106b162cdeff","1342"
